platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,lang,review_text,clean_text,tokens,tokens_str
appstore,개베빡치니까,효과음하고 텍스트 추가만 넣을수있어도,"캡컷 버릴수있었는데…….하…진짜 뭘 써봐도 캡컷만한게 없는듯
Pc버전도 아니고 아이패드랑 폰뿐이라서 안타깝지만 다시 캡컷으로 돌아감. . . . 그래도 블로 웨일로 필모라 키마 보다 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜 안됨?",3,0.9.7,0.0,0.0,2024-08-07,11584120836.0,kr,,,0.0,,NaT,,,,,"캡컷 버릴수있었는데…….하…진짜 뭘 써봐도 캡컷만한게 없는듯
Pc버전도 아니고 아이패드랑 폰뿐이라서 안타깝지만 다시 캡컷으로 돌아감. . . . 그래도 블로 웨일로 필모라 키마 보다 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜 안됨?",캡컷 버릴수있었는데 하 진짜 뭘 써봐도 캡컷만한게 없는듯 Pc버전도 아니고 아이패드랑 폰뿐이라서 안타깝지만 다시 캡컷으로 돌아감 그래도 블로 웨일로 필모라 키마 보다 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜 안됨,"['캡컷', '버릴수있었는데', '써봐도', '캡컷만한게', '없는듯', '버전도', '아이패드랑', '폰뿐이라서', '안타깝지만', '캡컷으로', '돌아감', '블로', '웨일로', '필모라', '키마', '편하고', '좋음', '모바일버전도', '효과음만', '넣어줘도', '좋을듯', '텍스트추가는왜']",캡컷 버릴수있었는데 써봐도 캡컷만한게 없는듯 버전도 아이패드랑 폰뿐이라서 안타깝지만 캡컷으로 돌아감 블로 웨일로 필모라 키마 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜
appstore,잘못눌러서 결제됐어요...ㅜㅜ,최고의 앱,너무 감사 무한감사 드립니다 ..,5,0.9.5,0.0,0.0,2024-07-18,11509555002.0,kr,,,0.0,,NaT,,,,,너무 감사 무한감사 드립니다 ..,너무 감사 무한감사 드립니다,"['감사', '무한감사', '드립니다']",감사 무한감사 드립니다
appstore,hermes99,60fps 영상출력이 안되네요,루마퓨전으로 60fps로 작업한 영상을 자막을 넣어서 vrew로 4K 60fps로 출력하면 4K 30fps로 인코딩이 되네요. 원본은 60fps인데 60fps로 설정해도 왜 30fps로 나오나요?,3,0.9.3,0.0,0.0,2024-05-27,11313386616.0,kr,,,0.0,,NaT,,,,,루마퓨전으로 60fps로 작업한 영상을 자막을 넣어서 vrew로 4K 60fps로 출력하면 4K 30fps로 인코딩이 되네요. 원본은 60fps인데 60fps로 설정해도 왜 30fps로 나오나요?,루마퓨전으로 60fps로 작업한 영상을 자막을 넣어서 vrew로 4K 60fps로 출력하면 4K 30fps로 인코딩이 되네요 원본은 60fps인데 60fps로 설정해도 왜 30fps로 나오나요,"['루마퓨전으로', '작업한', '영상을', '자막을', '넣어서', '출력하면', '인코딩이', '되네요', '원본은', '인데', '설정해도', '나오나요']",루마퓨전으로 작업한 영상을 자막을 넣어서 출력하면 인코딩이 되네요 원본은 인데 설정해도 나오나요
appstore,Vrewer,서버에 오류가 있는지요?,"늘 잘 쓰고 있어 감사 드립니다.
다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 및 분석이 되지 않는데 일시적 현상일지요? 사용을 못하고 있어 곤란한 상황이라 조속히 해결 되었으면 하는 바람입니다.",5,0.9.3,0.0,0.0,2024-03-02,11000221825.0,kr,,,0.0,,NaT,,,,,"늘 잘 쓰고 있어 감사 드립니다.
다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 및 분석이 되지 않는데 일시적 현상일지요? 사용을 못하고 있어 곤란한 상황이라 조속히 해결 되었으면 하는 바람입니다.",늘 잘 쓰고 있어 감사 드립니다 다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 및 분석이 되지 않는데 일시적 현상일지요 사용을 못하고 있어 곤란한 상황이라 조속히 해결 되었으면 하는 바람입니다,"['쓰고', '있어', '감사', '드립니다', '다만', '근래', '서버에서', '오류가', '발생하였다면서', '음성', '업로드', '분석이', '되지', '않는데', '일시적', '현상일지요', '사용을', '있어', '곤란한', '상황이라', '조속히', '되었으면', '바람입니다']",쓰고 있어 감사 드립니다 다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 분석이 되지 않는데 일시적 현상일지요 사용을 있어 곤란한 상황이라 조속히 되었으면 바람입니다
appstore,이거재미지다,원고 수정하지 말고 그대로 불러 올 수 있게 해주세요!제발!!!!!!!!!,텍스트로 원고 최종 수정까지 완료한 후 불러오기 하면 그대로 불러오는 게 아니고 ai가 임의적으로 원고를 수정해서 오타가 종종 발생해요! 그럼 또 수정을 해야 해서 일을 두 번 해야 합니다!! 수정하지 말고 원고 그대로 불러올 수 있게 해주세요!!,5,0.9.3,0.0,0.0,2024-02-21,10966065188.0,kr,,,0.0,,NaT,,,,,텍스트로 원고 최종 수정까지 완료한 후 불러오기 하면 그대로 불러오는 게 아니고 ai가 임의적으로 원고를 수정해서 오타가 종종 발생해요! 그럼 또 수정을 해야 해서 일을 두 번 해야 합니다!! 수정하지 말고 원고 그대로 불러올 수 있게 해주세요!!,텍스트로 원고 최종 수정까지 완료한 후 불러오기 하면 그대로 불러오는 게 아니고 ai가 임의적으로 원고를 수정해서 오타가 종종 발생해요 그럼 또 수정을 해야 해서 일을 두 번 해야 합니다 수정하지 말고 원고 그대로 불러올 수 있게 해주세요,"['텍스트로', '원고', '최종', '수정까지', '완료한', '불러오기', '그대로', '불러오는', '임의적으로', '원고를', '수정해서', '오타가', '종종', '발생해요', '수정을', '해야', '일을', '해야', '수정하지', '말고', '원고', '그대로', '불러올', '있게', '해주세요']",텍스트로 원고 최종 수정까지 완료한 불러오기 그대로 불러오는 임의적으로 원고를 수정해서 오타가 종종 발생해요 수정을 해야 일을 해야 수정하지 말고 원고 그대로 불러올 있게 해주세요
appstore,최골롬,감사합니다,너무유용하게 잘 쓰고있습니다.,5,0.9.3,0.0,0.0,2024-02-17,10951130630.0,kr,,,0.0,,NaT,,,,,너무유용하게 잘 쓰고있습니다.,너무유용하게 잘 쓰고있습니다,"['너무유용하게', '쓰고있습니다']",너무유용하게 쓰고있습니다
appstore,로블록스에 미췬옴,폅집,???!?,5,0.9.2,0.0,0.0,2024-01-29,10879288814.0,kr,,,0.0,,NaT,,,,,???!?,,[],
appstore,신준식목사,모바일에서도,모바일 앱에서도 텍스트로 영상 만들기 부탁해요.,4,0.9.2,0.0,0.0,2024-01-27,10871607996.0,kr,,,0.0,,NaT,,,,,모바일 앱에서도 텍스트로 영상 만들기 부탁해요.,모바일 앱에서도 텍스트로 영상 만들기 부탁해요,"['모바일', '앱에서도', '텍스트로', '영상', '만들기', '부탁해요']",모바일 앱에서도 텍스트로 영상 만들기 부탁해요
appstore,실망..험,아이패드에서도 Text로 영상제작 가능하게 해주세요,"너무 잘 이유하고 구독도 하고 있습니다.

한가지 요청사항은 PC 뿐만 아니라 아이패드에서도 Text로 영상제작이 가능하게 요청드립니다.",5,0.9.,0.0,0.0,2024-01-09,10804153874.0,kr,,,0.0,,NaT,,,,,"너무 잘 이유하고 구독도 하고 있습니다.

한가지 요청사항은 PC 뿐만 아니라 아이패드에서도 Text로 영상제작이 가능하게 요청드립니다.",너무 잘 이유하고 구독도 하고 있습니다 한가지 요청사항은 PC 뿐만 아니라 아이패드에서도 Text로 영상제작이 가능하게 요청드립니다,"['이유하고', '구독도', '하고', '있습니다', '한가지', '요청사항은', '뿐만', '아니라', '아이패드에서도', '영상제작이', '가능하게', '요청드립니다']",이유하고 구독도 하고 있습니다 한가지 요청사항은 뿐만 아니라 아이패드에서도 영상제작이 가능하게 요청드립니다
appstore,빵블666,최고입니다,"근데 최근에 이상하게 중국어만 번역기능 사용하려하면
형식에 맞지 않다는 오류가 계속 뜹니다 ㅜㅜ 확인 주시면 감사하겠습니다",5,0.8.6,0.0,0.0,2023-10-30,10533091980.0,kr,,,0.0,,NaT,,,,,"근데 최근에 이상하게 중국어만 번역기능 사용하려하면
형식에 맞지 않다는 오류가 계속 뜹니다 ㅜㅜ 확인 주시면 감사하겠습니다",근데 최근에 이상하게 중국어만 번역기능 사용하려하면 형식에 맞지 않다는 오류가 계속 뜹니다 확인 주시면 감사하겠습니다,"['최근에', '이상하게', '중국어만', '번역기능', '사용하려하면', '형식에', '맞지', '않다는', '오류가', '뜹니다', '확인', '주시면', '감사하겠습니다']",최근에 이상하게 중국어만 번역기능 사용하려하면 형식에 맞지 않다는 오류가 뜹니다 확인 주시면 감사하겠습니다
appstore,prcom-adkim,1st Good,It's the best app I use. I recommend it to everyone.,5,0.8.6,0.0,0.0,2023-10-08,10451263139.0,kr,,,0.0,,NaT,,,,,It's the best app I use. I recommend it to everyone.,It s the best app I use I recommend it to everyone,[],
appstore,예주파파,너무 좋네요.,"거기에 무료라라라라니.
대백",5,0.8.6,0.0,0.0,2023-09-12,10360968779.0,kr,,,0.0,,NaT,,,,,"거기에 무료라라라라니.
대백",거기에 무료라라라라니 대백,"['거기에', '무료라라라라니', '대백']",거기에 무료라라라라니 대백
appstore,로집사,자막 작성 편집에 최고입니다.,중간 무음구간 줄이기 등 디테일한 편집을 편하게 할 수 있어서 너무 좋네요,5,0.8.6,0.0,0.0,2023-05-16,9934688669.0,kr,,,0.0,,NaT,,,,,중간 무음구간 줄이기 등 디테일한 편집을 편하게 할 수 있어서 너무 좋네요,중간 무음구간 줄이기 등 디테일한 편집을 편하게 할 수 있어서 너무 좋네요,"['중간', '무음구간', '줄이기', '디테일한', '편집을', '편하게', '좋네요']",중간 무음구간 줄이기 디테일한 편집을 편하게 좋네요
appstore,첫차 어플이 짱,항상 좋은일만 있기를 바랍니다,사용 하는 동안에 도움이 많이 되었습니다,5,0.8.6,0.0,0.0,2023-04-24,9856349492.0,kr,,,0.0,,NaT,,,,,사용 하는 동안에 도움이 많이 되었습니다,사용 하는 동안에 도움이 많이 되었습니다,"['동안에', '도움이', '되었습니다']",동안에 도움이 되었습니다
appstore,이카메,"제가 어플로 아이폰,안드. 둘다. 만드시라고. 제안했던사람 입니다. 잘되서 너무. 뿌듯하네요^^","제가 어플로 아이폰,안드. 둘다. 만드시라고. 제안했던사람 입니다. 잘되서 너무. 뿌듯하네요^^",5,0.8.6,0.0,0.0,2023-04-21,9847095058.0,kr,,,0.0,,NaT,,,,,"제가 어플로 아이폰,안드. 둘다. 만드시라고. 제안했던사람 입니다. 잘되서 너무. 뿌듯하네요^^",제가 어플로 아이폰 안드 둘다 만드시라고 제안했던사람 입니다 잘되서 너무 뿌듯하네요,"['어플로', '아이폰', '안드', '둘다', '만드시라고', '제안했던사람', '입니다', '잘되서', '뿌듯하네요']",어플로 아이폰 안드 둘다 만드시라고 제안했던사람 입니다 잘되서 뿌듯하네요
appstore,전수산,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,5,0.8.6,0.0,0.0,2023-04-17,9832328434.0,kr,,,0.0,,NaT,,,,,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요,"['핸드폰', '앱으로는', '음성', '삽입', '불가능', '한가요']",핸드폰 앱으로는 음성 삽입 불가능 한가요
appstore,이건뭐헐,안녕하세요  AI음성 안보여요,안녕하세요  AI음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요?,5,0.8.6,0.0,0.0,2023-03-30,9768309888.0,kr,,,0.0,,NaT,,,,,안녕하세요  AI음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요?,안녕하세요 AI음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요,"['안녕하세요', '음성', '누르는데가', '안보여요', '혹시', '아이폰이라', '그럴까요']",안녕하세요 음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요
appstore,iAgencement,PC처럼 내가 인공지능이 글 읽는 기능이 있나요,고생 많으십니다. PC판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 이 기능을 못 찾고 있습니다.,2,0.8.6,0.0,0.0,2023-02-21,9641957581.0,kr,,,0.0,,NaT,,,,,고생 많으십니다. PC판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 이 기능을 못 찾고 있습니다.,고생 많으십니다 PC판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 이 기능을 못 찾고 있습니다,"['고생', '많으십니다', '판은', '글을', '입력하면', '인공지능이', '읽는', '기능이', '있던데', '아이패드에서는', '기능을', '찾고', '있습니다']",고생 많으십니다 판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 기능을 찾고 있습니다
appstore,가입이안되고잇음,가입이안되요ㅜ,"메일을 계속보내는데 메일이 안옵니다 
다른 이메일은 오는데 ㅜㅜ",3,0.8.6,0.0,0.0,2023-02-15,9619318234.0,kr,,,0.0,,NaT,,,,,"메일을 계속보내는데 메일이 안옵니다 
다른 이메일은 오는데 ㅜㅜ",메일을 계속보내는데 메일이 안옵니다 다른 이메일은 오는데,"['메일을', '계속보내는데', '메일이', '안옵니다', '이메일은', '오는데']",메일을 계속보내는데 메일이 안옵니다 이메일은 오는데
appstore,dreamimaa,다크모드,다크모드는 지원안되나요 ㅠㅠ,4,0.8.6,0.0,0.0,2023-02-10,9603227377.0,kr,,,0.0,,NaT,,,,,다크모드는 지원안되나요 ㅠㅠ,다크모드는 지원안되나요,"['다크모드는', '지원안되나요']",다크모드는 지원안되나요
appstore,알리앙,자막 불러오기가 안되네요,자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요. 제가 잘못하고 있는건가요??,5,0.8.6,0.0,0.0,2023-01-26,9551538423.0,kr,,,0.0,,NaT,,,,,자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요. 제가 잘못하고 있는건가요??,자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요 제가 잘못하고 있는건가요,"['자막', '텍스트파일', '불러와서', '확인', '누르면', '적용이', '안되네요', '잘못하고', '있는건가요']",자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요 잘못하고 있는건가요
appstore,흥해라 브루,말하기 영상 제작에 원탑이라 생각합니다.,"이런 어플 만들어 주셔서 감사합니다.
덕분에 언제 어디서나 편집하고 있습니다.",5,0.8.6,0.0,0.0,2023-01-14,9505601926.0,kr,,,0.0,,NaT,,,,,"이런 어플 만들어 주셔서 감사합니다.
덕분에 언제 어디서나 편집하고 있습니다.",이런 어플 만들어 주셔서 감사합니다 덕분에 언제 어디서나 편집하고 있습니다,"['어플', '만들어', '주셔서', '감사합니다', '덕분에', '언제', '어디서나', '편집하고', '있습니다']",어플 만들어 주셔서 감사합니다 덕분에 언제 어디서나 편집하고 있습니다
appstore,붐이,정말 이렇게 좋은 어플을 만들어 주셔서 감사해요 .,유료가 되어도 꼭 구매하고 쓸게요 ^^. 항상 감사합니다.,5,0.8.6,0.0,0.0,2023-01-13,9504189182.0,kr,,,0.0,,NaT,,,,,유료가 되어도 꼭 구매하고 쓸게요 ^^. 항상 감사합니다.,유료가 되어도 꼭 구매하고 쓸게요 항상 감사합니다,"['유료가', '되어도', '구매하고', '쓸게요', '감사합니다']",유료가 되어도 구매하고 쓸게요 감사합니다
appstore,Seong-Cheol Cho,최고의 편집앱.,피씨에서도 휴대폰에서도 다 잘 되네요.,5,0.8.6,0.0,0.0,2022-12-24,9431535212.0,kr,,,0.0,,NaT,,,,,피씨에서도 휴대폰에서도 다 잘 되네요.,피씨에서도 휴대폰에서도 다 잘 되네요,"['피씨에서도', '휴대폰에서도', '되네요']",피씨에서도 휴대폰에서도 되네요
appstore,릴료,항상 잘쓰고 있습니다,혹시 pc버젼말고 앱에서도 ai 성우 안나오나요 ??,4,0.8.6,0.0,0.0,2022-12-22,9425032232.0,kr,,,0.0,,NaT,,,,,혹시 pc버젼말고 앱에서도 ai 성우 안나오나요 ??,혹시 pc버젼말고 앱에서도 ai 성우 안나오나요,"['혹시', '버젼말고', '앱에서도', '성우', '안나오나요']",혹시 버젼말고 앱에서도 성우 안나오나요
appstore,K158,어마어마하게 유용한,최고의 선물,5,0.8.6,0.0,0.0,2022-12-09,9377970951.0,kr,,,0.0,,NaT,,,,,최고의 선물,최고의 선물,"['최고의', '선물']",최고의 선물
appstore,임찌영쓰,이어플은미쳤다,"작업시간을 최소 3-5시간 줄여줬다
상받아야한다.
동영상편집쪽도 만들어서
1등해주세요 
와나
나만알고싶어",5,0.8.6,0.0,0.0,2022-11-14,9290820452.0,kr,,,0.0,,NaT,,,,,"작업시간을 최소 3-5시간 줄여줬다
상받아야한다.
동영상편집쪽도 만들어서
1등해주세요 
와나
나만알고싶어",작업시간을 최소 3 5시간 줄여줬다 상받아야한다 동영상편집쪽도 만들어서 1등해주세요 와나 나만알고싶어,"['작업시간을', '최소', '시간', '줄여줬다', '상받아야한다', '동영상편집쪽도', '만들어서', '등해주세요', '와나', '나만알고싶어']",작업시간을 최소 시간 줄여줬다 상받아야한다 동영상편집쪽도 만들어서 등해주세요 와나 나만알고싶어
appstore,vrew최고,너무 편리함,"제가 지금 1달 정도 이걸로 동영상 편집하고 있거든요 짱이예요.
오른쪽 아래에 vrew라고 써저있는것만 빼면 짱좋아요",5,0.8.6,0.0,0.0,2022-11-06,9260878602.0,kr,,,0.0,,NaT,,,,,"제가 지금 1달 정도 이걸로 동영상 편집하고 있거든요 짱이예요.
오른쪽 아래에 vrew라고 써저있는것만 빼면 짱좋아요",제가 지금 1달 정도 이걸로 동영상 편집하고 있거든요 짱이예요 오른쪽 아래에 vrew라고 써저있는것만 빼면 짱좋아요,"['이걸로', '동영상', '편집하고', '있거든요', '짱이예요', '오른쪽', '아래에', '써저있는것만', '빼면', '짱좋아요']",이걸로 동영상 편집하고 있거든요 짱이예요 오른쪽 아래에 써저있는것만 빼면 짱좋아요
appstore,sakubread,헝가리어도 추가해주세요 ㅠㅠ,"앱 너무너무 좋아요,, 헝가리어 같은 다른 언어들도 꼭 추가해주셨으면 좋겠습니당 🥹🥹",5,0.8.4,0.0,0.0,2022-09-11,9074323208.0,kr,,,0.0,,NaT,,,,,"앱 너무너무 좋아요,, 헝가리어 같은 다른 언어들도 꼭 추가해주셨으면 좋겠습니당 🥹🥹",앱 너무너무 좋아요 헝가리어 같은 다른 언어들도 꼭 추가해주셨으면 좋겠습니당,"['너무너무', '좋아요', '헝가리어', '언어들도', '추가해주셨으면', '좋겠습니당']",너무너무 좋아요 헝가리어 언어들도 추가해주셨으면 좋겠습니당
appstore,땡큐 잡스!!!!,영상 편집자에 최고의 앱~ 사랑합니다,사랑합니다~,5,0.8.4,0.0,0.0,2022-08-17,8988221972.0,kr,,,0.0,,NaT,,,,,사랑합니다~,사랑합니다,['사랑합니다'],사랑합니다
appstore,항이용,질문 있습니다!!!,"안녕하세요...그동안 Vrew 와 함께 많은 영상을 만들었는데요...
최근들어서 영상을 자막과 함께 추출할때....60 프레임 으로 추출 하는데
계속해서 결과물은 30 프레임으로 저장이 됩니다...
예전에는 60 프레임 하면 그대로 저장 되었는데...왜 그런가요?
어떻게 문제를 해결할수 있나요??",3,0.8.3,0.0,0.0,2022-06-01,8730275049.0,kr,,,0.0,,NaT,,,,,"안녕하세요...그동안 Vrew 와 함께 많은 영상을 만들었는데요...
최근들어서 영상을 자막과 함께 추출할때....60 프레임 으로 추출 하는데
계속해서 결과물은 30 프레임으로 저장이 됩니다...
예전에는 60 프레임 하면 그대로 저장 되었는데...왜 그런가요?
어떻게 문제를 해결할수 있나요??",안녕하세요 그동안 Vrew 와 함께 많은 영상을 만들었는데요 최근들어서 영상을 자막과 함께 추출할때 60 프레임 으로 추출 하는데 계속해서 결과물은 30 프레임으로 저장이 됩니다 예전에는 60 프레임 하면 그대로 저장 되었는데 왜 그런가요 어떻게 문제를 해결할수 있나요,"['안녕하세요', '그동안', '함께', '많은', '영상을', '만들었는데요', '최근들어서', '영상을', '자막과', '함께', '추출할때', '프레임', '추출', '하는데', '결과물은', '프레임으로', '저장이', '됩니다', '예전에는', '프레임', '그대로', '저장', '되었는데', '그런가요', '어떻게', '문제를', '해결할수', '있나요']",안녕하세요 그동안 함께 많은 영상을 만들었는데요 최근들어서 영상을 자막과 함께 추출할때 프레임 추출 하는데 결과물은 프레임으로 저장이 됩니다 예전에는 프레임 그대로 저장 되었는데 그런가요 어떻게 문제를 해결할수 있나요
appstore,추천인 eience,음성인식만 따졌을땐 클로바와 차이가 심합니다,열심히 개발중이시겠죠 기다리겠습니다,4,0.8.3,0.0,0.0,2022-04-10,8551573151.0,kr,,,0.0,,NaT,,,,,열심히 개발중이시겠죠 기다리겠습니다,열심히 개발중이시겠죠 기다리겠습니다,"['열심히', '개발중이시겠죠', '기다리겠습니다']",열심히 개발중이시겠죠 기다리겠습니다
